GEOM,field_1,field_2,field_3,field_4,ngw_id
"POINT (4428397.32366249 5404750.79836993)","77",Хостинский район. с. Богушевка. ул. Фундучная,"43.60652","39.78097",77
"POINT EMPTY","78",Хостинский район. с. Краевско-Армянское.,,,78
"POINT (4431551.00483667 5404278.83974531)","79",""" ул. Измайловская. 48 (ул. Саят-Нова)""""""","43.60345","39.8093",79
"POINT (4431712.41809832 5395009.04319612)","80",Хостинский район. мкр. Малый Ахун. ул. Дорога на Большой Ахун,"43.54312","39.81075",80
"POINT (4440563.43081129 5398961.36134317)","81",Адлерский район. к северу от с. Хлебороб. участок дороги 03К-452,"43.56885","39.89026",81
"POINT (4426196.53732951 5419007.00001734)","82",Хостинский район . с. Пластунка . садовое това-рищество Гори-зонт-3,"43.69918","39.7612",82
"POINT (4417339.958642 5409896.24894512)","83","""Центральный район . СТ Же-лезнодорожник . пос. 73-й километр .ул. Ландышевая""""""","43.63998","39.68164",83
"POINT (4450433.01686502 5396710.80619601)","84",Адлерский рай-он . с. Галицыно . ул. Тернопольская,"43.5542","39.97892",84
"POINT (4434390.7650468 5395735.47956718)","85",Хостинский район . мкр. Малый Ахун . ул. Дорога на Большой Ахун,"43.54785","39.83481",85
"POINT (4439095.12672773 5391763.04510391)","86",Адлерский рай-он . ул. Володарского,"43.52198","39.87707",86
"POINT (4441781.26604057 5395601.86014269)","87",Адлерский рай-он . участок до-роги 03К-465 «Подъезд к с. Красная Воля»,"43.54698","39.9012",87
"POINT (4441732.28546462 5392533.75148415)","88",Адлерский рай-он . с. Каштаны . ул. Мичурина в районе дома №25а,"43.527","39.90076",88
"POINT (4447408.46630017 5388828.19277193)","89",Хостинский район . с. Верхнениколаевское . ул. Веринская,"43.50286","39.95175",89
"POINT (4431716.87087795 5393871.12531624)","90",Хостинский район. участок трассы А-147,"43.53571","39.81079",90
"POINT (4417542.56011524 5420573.04596271)","91",Лазаревский с. Барановка (в районе школы № 97),"43.70935","39.68346",91
"POINT (4431936.17027481 5406212.94687652)","92", Хостинский район. с. Краевско- Армянское. СТ Клен,"43.61603","39.81276",92
"POINT (4428855.95996456 5413076.29604482)","93",с. Пластунка (СТ Ромашка. Отдых. Консервщик. Чайка и др.),"43.66065","39.78509",93
"POINT (4417547.01289487 5417114.85643226)","94", Лазаревский район. с. Ордынка. ул. Тополиная,"43.68689","39.6835",94
"POINT (4421281.78181099 5418428.0768389)","95", с. Сергей- Поле. СНТ Каштан. ул. Шалфейная (Черничная),"43.69542","39.71705",95
"POINT (4416196.70747155 5413450.21964518)","96",пос. Дагомыс. ул. Российская,"43.66308","39.67137",96
"POINT (4445875.59691194 5385955.63941367)","97",Адлерский район. с. Бестужевское,"43.48414","39.93798",97
"POINT (4415837.14551629 5410620.77879377)","98",Лазаревский (Центральный) район. (перегон Дагомыс- Мамайка) 73-й км,"43.64469","39.66814",98
"POINT (4440809.44688594 5404784.62043404)","99", Хостинский район. с. Прогресс,"43.60674","39.89247",99
"POINT (4433607.07583162 5401739.59305042)","100",с. Калиновое Озеро (участок дороги 03К-452 6 км+300 м),"43.58693","39.82777",100
"POINT (4435902.48373177 5409596.30098342)","101",с. Семеновка,"43.63803","39.84839",101
"POINT (4433179.60898697 5407421.58485861)","102", Хостинский район. с. Измайловка. территория кладбища,"43.62389","39.82393",102
